Publisher	date	COLLEGE	COMEDY	CRIME	CULTUREARTS	DIVORCE	EDUCATION	ENTERTAINMENT	ENVIRONMENT	FOODDRINK	HOMELIVING	MEDIA	MONEY	PARENTING	POLITICS	QUEERVOICES	RELIGION	SCIENCE	SPORTS	STYLEBEAUTY	TECH	TRAVEL	WEDDINGS	WELLNESS	WOMEN	WORLDPOST
Reuters	20160101	1	2	13	32		5	20	160		3	28	513	1	48	3	4	6	123	4	99	31	1	35	1	253
The New York Times	20160101	5	33	13	140	2	12	39	37	6	5	21	39	2	103	3	6	9	80	9	15	18	7	12	6	122
People	20160101	1	5	20	22	11	3	85	19		4	1	3	17	12	2		2	2	32	2	2	15	8	4	8
CNBC	20160101	1			11	1		6	17			1	87		5			1	1		29	3		4	1	51
Vice	20160101	2	5	3	136	1	4	31	17	7	2		4	1	15	2	3	7	25	3	20	4	1	13	4	19
The Hill	20160101	2	1		11		2	4	29			48	23		150	1	1		2		17	5	1	4		27
CNN	20160101	2		2	17		6	15	14			2	2	1	68	1	3		2	2	3	2		6		48
Mashable	20160101		4	3	42	1		42	39	4	2		11	9	12			4	11	15	57	17	2	10	5	18
Reuters	20160101	1	2	13	32		5	20	160		3	28	513	1	48	3	4	6	123	4	99	31	1	35	1	253
The New York Times	20160101	5	33	13	140	2	12	39	37	6	5	21	39	2	103	3	6	9	80	9	15	18	7	12	6	122
People	20160101	1	5	20	22	11	3	85	19		4	1	3	17	12	2		2	2	32	2	2	15	8	4	8
CNBC	20160101	1			11	1		6	17			1	87		5			1	1		29	3		4	1	51
Vice	20160101	2	5	3	136	1	4	31	17	7	2		4	1	15	2	3	7	25	3	20	4	1	13	4	19
The Hill	20160101	2	1		11		2	4	29			48	23		150	1	1		2		17	5	1	4		27
CNN	20160101	2		2	17		6	15	14			2	2	1	68	1	3		2	2	3	2		6		48
Mashable	20160101		4	3	42	1		42	39	4	2		11	9	12			4	11	15	57	17	2	10	5	18
Reuters	20160201	2	3	18	32	1	3	26	156	2		36	629		48	2	2	5	102	4	86	31	4	39	1	253
The New York Times	20160201	10	46	8	123	2	12	39	37	8	6	20	39	3	168	4	8	7	60	21	19	17	4	20	8	99
People	20160201	1	3	14	27	8	3	90	10	1	1	1	2	10	11	9	1		3	61	1	5	19	12	3	7
CNBC	20160201				6		2	5	16			3	80		18		1		2	1	38	5		7		41
Vice	20160201	2	3	3	139	1	2	39	13	8	2	2	6	1	12	3	2	8	23	4	22	8	1	10	4	16
The Hill	20160201	2	1	1	10		6	1	38			49	28		186		2		1		29	6	1	8		16
CNN	20160201	2	1	7	11		5	9	12			5		4	67	2	3	2	2	2	4	3	1	2		28
Mashable	20160201	1	16		62	1	4	54	28	6	3	1	10	8	18	3	2	4	6	23	41	16	1	10	3	22
Reuters	20160201	2	3	18	32	1	3	26	156	2		36	629		48	2	2	5	102	4	86	31	4	39	1	253
The New York Times	20160201	10	46	8	123	2	12	39	37	8	6	20	39	3	168	4	8	7	60	21	19	17	4	20	8	99
People	20160201	1	3	14	27	8	3	90	10	1	1	1	2	10	11	9	1		3	61	1	5	19	12	3	7
CNBC	20160201				6		2	5	16			3	80		18		1		2	1	38	5		7		41
Vice	20160201	2	3	3	139	1	2	39	13	8	2	2	6	1	12	3	2	8	23	4	22	8	1	10	4	16
The Hill	20160201	2	1	1	10		6	1	38			49	28		186		2		1		29	6	1	8		16
CNN	20160201	2	1	7	11		5	9	12			5		4	67	2	3	2	2	2	4	3	1	2		28
Mashable	20160201	1	16		62	1	4	54	28	6	3	1	10	8	18	3	2	4	6	23	41	16	1	10	3	22
Reuters	20160301	3	4	17	31		3	12	154		1	49	663	6	47	2		3	108	6	104	38	10	44	3	282
The New York Times	20160301	7	32	14	130	2	17	33	32	7	13	23	32	5	113	5	3	8	65	16	27	22	4	23	9	108
People	20160301	1	7	19	34	11	4	82	19	2	1	2	1	17	15	2	2	4	1	39	2	1	16	10	10	10
CNBC	20160301	3	2	1	14			7	16		2	8	85		13			2			30	11	1	2	1	51
Vice	20160301	1	3	6	122	1	4	42	18	9	1	2	7	1	12	6	3	4	38	5	16	8	1	15	7	23
The Hill	20160301	1			14		3	1	27			53	19		197	2			2		33	1		5		31
CNN	20160301	1	2	4	11	1	2	9	11			5		2	70	1		4	2		3	6	1	6	2	41
Mashable	20160301	1	12		51		2	44	27	3		3	5	9	21	3	2	1	5	7	51	17	4	7	4	24
Reuters	20160301	3	4	17	31		3	12	154		1	49	663	6	47	2		3	108	6	104	38	10	44	3	282
The New York Times	20160301	7	32	14	130	2	17	33	32	7	13	23	32	5	113	5	3	8	65	16	27	22	4	23	9	108
People	20160301	1	7	19	34	11	4	82	19	2	1	2	1	17	15	2	2	4	1	39	2	1	16	10	10	10
CNBC	20160301	3	2	1	14			7	16		2	8	85		13			2			30	11	1	2	1	51
Vice	20160301	1	3	6	122	1	4	42	18	9	1	2	7	1	12	6	3	4	38	5	16	8	1	15	7	23
The Hill	20160301	1			14		3	1	27			53	19		197	2			2		33	1		5		31
CNN	20160301	1	2	4	11	1	2	9	11			5		2	70	1		4	2		3	6	1	6	2	41
Mashable	20160301	1	12		51		2	44	27	3		3	5	9	21	3	2	1	5	7	51	17	4	7	4	24
Reuters	20160401	1	6	6	29	2	6	25	156	1		30	791	2	43	6	4	7	121	3	101	24	2	45		264
The New York Times	20160401	9	13	17	143		13	26	41	6	8	10	44	3	87	5	5	7	72	9	20	12	6	13	2	97
People	20160401		5	19	29	12	2	67	16	1	2	1	1	19	15	2	4	2	3	60	1	8	13	4	7	7
CNBC	20160401	2			4		2	3	27	2	1	3	95		20			2	5	1	40	4		4		46
Vice	20160401		4		121	2	3	49	12	6	2	2	4	2	16	2		7	21	2	25	14		13	5	22
The Hill	20160401		2		18		1	6	33			45	33	1	170		2	1		1	36	8		2		21
CNN	20160401	2		7	8		5	8	13			1	2	2	46	4		1	2		3	4	1	8	2	30
Mashable	20160401	1	18	2	52	2	1	33	28	1	6		3	7	8	5		3	6	9	47	13	4	5	4	16
Reuters	20160401	1	6	6	29	2	6	25	156	1		30	791	2	43	6	4	7	121	3	101	24	2	45		264
The New York Times	20160401	9	13	17	143		13	26	41	6	8	10	44	3	87	5	5	7	72	9	20	12	6	13	2	97
People	20160401		5	19	29	12	2	67	16	1	2	1	1	19	15	2	4	2	3	60	1	8	13	4	7	7
CNBC	20160401	2			4		2	3	27	2	1	3	95		20			2	5	1	40	4		4		46
Vice	20160401		4		121	2	3	49	12	6	2	2	4	2	16	2		7	21	2	25	14		13	5	22
The Hill	20160401		2		18		1	6	33			45	33	1	170		2	1		1	36	8		2		21
CNN	20160401	2		7	8		5	8	13			1	2	2	46	4		1	2		3	4	1	8	2	30
Mashable	20160401	1	18	2	52	2	1	33	28	1	6		3	7	8	5		3	6	9	47	13	4	5	4	16
Reuters	20160501	7	3	13	28	1	3	31	164	3	1	67	881	3	35	5		10	89	7	163	22		45		237
The New York Times	20160501	9	31	9	111	2	6	28	33	8	11	13	32	3	74	5	7	10	53	8	24	17	13	10	7	99
People	20160501	1	8	12	25	14	6	63	13	2	1	4		17	11			1	1	49	5	4	20	13	4	9
CNBC	20160501	3	2		9		4	7	17	2	1	4	90		14	1		1	1		52	3		2		44
Vice	20160501	1	6	4	136		4	39	22	8	3		4	4	13	6	1	7	24	6	15	4		15	7	26
The Hill	20160501	3		1	10		5	1	30			24	29		199	3		1	1		27	6		3		18
CNN	20160501	4		6	9		4	10	14		1	1	2	1	56	3	1	5			3	5		9	1	34
Mashable	20160501	4	16	1	39		5	38	17	1	1	1	8	4	6	1	1	5	1	15	41	14	1	4	2	14
Reuters	20160501	7	3	13	28	1	3	31	164	3	1	67	881	3	35	5		10	89	7	163	22		45		237
The New York Times	20160501	9	31	9	111	2	6	28	33	8	11	13	32	3	74	5	7	10	53	8	24	17	13	10	7	99
People	20160501	1	8	12	25	14	6	63	13	2	1	4		17	11			1	1	49	5	4	20	13	4	9
CNBC	20160501	3	2		9		4	7	17	2	1	4	90		14	1		1	1		52	3		2		44
Vice	20160501	1	6	4	136		4	39	22	8	3		4	4	13	6	1	7	24	6	15	4		15	7	26
The Hill	20160501	3		1	10		5	1	30			24	29		199	3		1	1		27	6		3		18
CNN	20160501	4		6	9		4	10	14		1	1	2	1	56	3	1	5			3	5		9	1	34
Mashable	20160501	4	16	1	39		5	38	17	1	1	1	8	4	6	1	1	5	1	15	41	14	1	4	2	14
Reuters	20160601	2	4	9	27	6	3	21	181	3	2	49	752	2	45	12	2	9	109	8	164	33	3	46		275
The New York Times	20160601	5	19	12	125	1	12	24	25	7	9	7	18	5	84	20	8	10	45	12	19	16	13	11	10	96
People	20160601	2	1	18	32	18	4	58	15	4	5			14	17	14	5		6	46	1	4	19	8	9	6
CNBC	20160601		4		8		3	5	23	1		1	101		22	2		3	2	3	42	3		8		58
Vice	20160601	5	2	2	133	1	3	33	24	8	2	1	1	2	13	8	1	12	21	4	23	10		8	2	26
The Hill	20160601	1	1	2	13		2	1	41		1	30	28		194	8			2		34	3		4		22
CNN	20160601	1		8	14	1	1	12	14			1	2	5	55	2	1	5	1		3	1		6	1	35
Mashable	20160601	2	16	1	43			34	23	2	3	4	7	6	5	3		8	7	11	60	8	1	2	2	13
Reuters	20160601	2	4	9	27	6	3	21	181	3	2	49	752	2	45	12	2	9	109	8	164	33	3	46		275
The New York Times	20160601	5	19	12	125	1	12	24	25	7	9	7	18	5	84	20	8	10	45	12	19	16	13	11	10	96
People	20160601	2	1	18	32	18	4	58	15	4	5			14	17	14	5		6	46	1	4	19	8	9	6
CNBC	20160601		4		8		3	5	23	1		1	101		22	2		3	2	3	42	3		8		58
Vice	20160601	5	2	2	133	1	3	33	24	8	2	1	1	2	13	8	1	12	21	4	23	10		8	2	26
The Hill	20160601	1	1	2	13		2	1	41		1	30	28		194	8			2		34	3		4		22
CNN	20160601	1		8	14	1	1	12	14			1	2	5	55	2	1	5	1		3	1		6	1	35
Mashable	20160601	2	16	1	43			34	23	2	3	4	7	6	5	3		8	7	11	60	8	1	2	2	13
Reuters	20160701	1	7	12	28	6	5	21	160	2	1	55	788	3	42	8	1	12	133	9	155	36		60		265
The New York Times	20160701	4	8	9	110	1	6	34	24	7	6	11	20	3	97	2	5	4	33	3	23	12	7	10	6	95
People	20160701	1	1	10	25	13	3	57	14	8	3	1	1	16	24	7	1		2	34	3	3	13	17	10	5
CNBC	20160701		4	1	6		1	7	15	1	2	4	95		36			2		1	57	3		9	1	55
Vice	20160701	1	6	1	139		2	39	13	6	2	4	4	1	15	3		12	31	4	23	8		15	3	22
The Hill	20160701	2	3	2	9		5	1	23		1	38	25		183	2	1				30	2		4		30
CNN	20160701		2	2	8	3	1	9	10				3	2	83	1	1	6	1		2	4	1	9	2	27
Mashable	20160701		14	1	53		1	36	9	4	3	1	4	2	14	2	1	3	3	8	30	13	6	5	1	11
Reuters	20160701	1	7	12	28	6	5	21	160	2	1	55	788	3	42	8	1	12	133	9	155	36		60		265
The New York Times	20160701	4	8	9	110	1	6	34	24	7	6	11	20	3	97	2	5	4	33	3	23	12	7	10	6	95
People	20160701	1	1	10	25	13	3	57	14	8	3	1	1	16	24	7	1		2	34	3	3	13	17	10	5
CNBC	20160701		4	1	6		1	7	15	1	2	4	95		36			2		1	57	3		9	1	55
Vice	20160701	1	6	1	139		2	39	13	6	2	4	4	1	15	3		12	31	4	23	8		15	3	22
The Hill	20160701	2	3	2	9		5	1	23		1	38	25		183	2	1				30	2		4		30
CNN	20160701		2	2	8	3	1	9	10				3	2	83	1	1	6	1		2	4	1	9	2	27
Mashable	20160701		14	1	53		1	36	9	4	3	1	4	2	14	2	1	3	3	8	30	13	6	5	1	11
Reuters	20160801	19	19	15	30	12	8	30	175	1		46	840	3	46	8	1	20	206	5	161	39	2	74	38	187
The New York Times	20160801	2	4	9	90		13	25	36	7	5	6	16	7	63	1	7	4	38	7	14	14	7	12	4	72
People	20160801		3	8	20	10	3	64	15	8	6		1	15	13	4	1		22	47		10	21	18	6	7
CNBC	20160801				9	1		6	18			1	80		25				3	1	40	4		5		55
Vice	20160801		8	3	126		2	34	15	7	1		6		6	4		7	25	2	25	6	1	16	5	22
The Hill	20160801	1	1	1	16		2	5	29			51	22	1	199	1	2		1		25	4		6		20
CNN	20160801	2		2	12	2	8	11	12			1	1	3	66	2	1	4	2	1	2	3		5	1	35
Mashable	20160801	2	17	1	32		2	31	19	1	6	3	4	4	7	1	1	5	13	7	50	15	5	3	3	14
Reuters	20160801	19	19	15	30	12	8	30	175	1		46	840	3	46	8	1	20	206	5	161	39	2	74	38	187
The New York Times	20160801	2	4	9	90		13	25	36	7	5	6	16	7	63	1	7	4	38	7	14	14	7	12	4	72
People	20160801		3	8	20	10	3	64	15	8	6		1	15	13	4	1		22	47		10	21	18	6	7
CNBC	20160801				9	1		6	18			1	80		25				3	1	40	4		5		55
Vice	20160801		8	3	126		2	34	15	7	1		6		6	4		7	25	2	25	6	1	16	5	22
The Hill	20160801	1	1	1	16		2	5	29			51	22	1	199	1	2		1		25	4		6		20
CNN	20160801	2		2	12	2	8	11	12			1	1	3	66	2	1	4	2	1	2	3		5	1	35
Mashable	20160801	2	17	1	32		2	31	19	1	6	3	4	4	7	1	1	5	13	7	50	15	5	3	3	14
Reuters	20160901	3		6	35	1	6	34	170	1	1	44	640	4	41	4	3	9	144	6	157	22	3	49		286
The New York Times	20160901	3	4	3	131	1	13	24	35	13	7	7	28	5	68	6	2	8	29	16	22	18	13	10	4	74
People	20160901	1	2	19	23	18	7	56	24	4	4	3	1	14	23	10	1	1	3	55	1	4	12	11	8	9
CNBC	20160901	2		1	7		2	7	24	1	1	5	89		27			2	5		53	5	1	5		36
Vice	20160901	3	4	2	112	1	2	40	17	9	3		6	4	15	7		10	25	7	28	6	2	19	4	20
The Hill	20160901	1	1	2	17		1	6	40		2	36	29		209	1	1		2		28	5		6	1	32
CNN	20160901	1	1	6	10		6	10	16				2	1	78	4	2	4			4	1	1	7		41
Mashable	20160901		10	1	43	2	1	23	27	3	3	1	5	7	8	2	1		11	14	59	4	3	3	1	8
Reuters	20160901	3		6	35	1	6	34	170	1	1	44	640	4	41	4	3	9	144	6	157	22	3	49		286
The New York Times	20160901	3	4	3	131	1	13	24	35	13	7	7	28	5	68	6	2	8	29	16	22	18	13	10	4	74
People	20160901	1	2	19	23	18	7	56	24	4	4	3	1	14	23	10	1	1	3	55	1	4	12	11	8	9
CNBC	20160901	2		1	7		2	7	24	1	1	5	89		27			2	5		53	5	1	5		36
Vice	20160901	3	4	2	112	1	2	40	17	9	3		6	4	15	7		10	25	7	28	6	2	19	4	20
The Hill	20160901	1	1	2	17		1	6	40		2	36	29		209	1	1		2		28	5		6	1	32
CNN	20160901	1	1	6	10		6	10	16				2	1	78	4	2	4			4	1	1	7		41
Mashable	20160901		10	1	43	2	1	23	27	3	3	1	5	7	8	2	1		11	14	59	4	3	3	1	8
Reuters	20161001	3		6	24	3	4	24	167	2	3	38	856	2	35	1		10	89	11	229	38	1	41		266
The New York Times	20161001	4	1	2	120	6	10	28	32	8	10	4	27	7	92	6	2	9	33	11	29	11	11	12	6	93
People	20161001		5	15	36	16	3	96	18	9	3		3	26	23	7			4	50	4	13	19	23	10	2
CNBC	20161001	1			5			10	11	2	2	3	118	1	36				2	2	60	4		4	1	46
Vice	20161001	1	1	2	133	1	7	33	12	12	2	4	5	4	13	2	1	10	38	4	23	5	1	9	6	13
The Hill	20161001	1		1	11		3	6	34			46	38	1	244		3		1		27	4	1	5		27
CNN	20161001	1	3	1	13		2	10	23			4	2	6	82	4	1	5	2	2	4		1	12	7	42
Mashable	20161001	1	20		52	2		34	18	2		2	3	4	20			5	15	9	58	7	2	6	3	9
Reuters	20161001	3		6	24	3	4	24	167	2	3	38	856	2	35	1		10	89	11	229	38	1	41		266
The New York Times	20161001	4	1	2	120	6	10	28	32	8	10	4	27	7	92	6	2	9	33	11	29	11	11	12	6	93
People	20161001		5	15	36	16	3	96	18	9	3		3	26	23	7			4	50	4	13	19	23	10	2
CNBC	20161001	1			5			10	11	2	2	3	118	1	36				2	2	60	4		4	1	46
Vice	20161001	1	1	2	133	1	7	33	12	12	2	4	5	4	13	2	1	10	38	4	23	5	1	9	6	13
The Hill	20161001	1		1	11		3	6	34			46	38	1	244		3		1		27	4	1	5		27
CNN	20161001	1	3	1	13		2	10	23			4	2	6	82	4	1	5	2	2	4		1	12	7	42
Mashable	20161001	1	20		52	2		34	18	2		2	3	4	20			5	15	9	58	7	2	6	3	9
Reuters	20161101	4	1	6	29	1	2	41	183	1	4	29	1014	1	66	4	2	11	116	3	206	36	4	48	1	250
The New York Times	20161101	5	2	4	102		13	23	35	8	10	14	21	2	104	1	6	9	32	8	24	12	2	10	3	78
People	20161101		2	16	40	13	3	56	21	1	14		4	21	29	2	3	1	3	29	2	6	10	21	6	7
CNBC	20161101			1	10		2	7	17	2		4	99	1	42				1	5	39	7		2	1	54
Vice	20161101	1	1		98		7	32	21	16	2		3	3	23	8	1	5	27		17	11		15	7	15
The Hill	20161101	2	3		13		5	2	30			37	23		209	1	2		1		25	3		6		28
CNN	20161101		1		7		5	13	11		1	1		3	76	1	3	2		1	3	2	1	8	3	46
Mashable	20161101	1	13		40		3	30	12	2		2	8	3	26		1	4	9	9	58	7		3		14
Reuters	20161101	4	1	6	29	1	2	41	183	1	4	29	1014	1	66	4	2	11	116	3	206	36	4	48	1	250
The New York Times	20161101	5	2	4	102		13	23	35	8	10	14	21	2	104	1	6	9	32	8	24	12	2	10	3	78
People	20161101		2	16	40	13	3	56	21	1	14		4	21	29	2	3	1	3	29	2	6	10	21	6	7
CNBC	20161101			1	10		2	7	17	2		4	99	1	42				1	5	39	7		2	1	54
Vice	20161101	1	1		98		7	32	21	16	2		3	3	23	8	1	5	27		17	11		15	7	15
The Hill	20161101	2	3		13		5	2	30			37	23		209	1	2		1		25	3		6		28
CNN	20161101		1		7		5	13	11		1	1		3	76	1	3	2		1	3	2	1	8	3	46
Mashable	20161101	1	13		40		3	30	12	2		2	8	3	26		1	4	9	9	58	7		3		14
Reuters	20161201	6	1	11	23	1	2	28	172	2	1	39	729	3	30	2	3	8	76	5	168	24	1	40	3	243
The New York Times	20161201	3	3	3	123		9	18	29	8	10	8	16	2	56	1	4	7	31	5	28	12	3	13	6	95
People	20161201		3	12	29	9	3	67	21	3	6	1	1	14	9	1		2	4	33	4	8	9	15	4	7
CNBC	20161201	1	1		10		2	9	14	1	1	2	86		28		1		1	2	41	4		2		58
Vice	20161201	2	1	2	106	1	1	34	8	12	4	1	4		6	5	1	6	29	6	24	4		13	3	12
The Hill	20161201	3	6		11		3	8	21			32	25		178	2	3				21	3		7		54
CNN	20161201	1		4	19		6	12	13			3			47	5			1		1	1		9	2	42
Mashable	20161201		12		43	1	2	29	12	4	6		9	3	7	1		4	9	10	47	8	2	2	5	9
Reuters	20161201	6	1	11	23	1	2	28	172	2	1	39	729	3	30	2	3	8	76	5	168	24	1	40	3	243
The New York Times	20161201	3	3	3	123		9	18	29	8	10	8	16	2	56	1	4	7	31	5	28	12	3	13	6	95
People	20161201		3	12	29	9	3	67	21	3	6	1	1	14	9	1		2	4	33	4	8	9	15	4	7
CNBC	20161201	1	1		10		2	9	14	1	1	2	86		28		1		1	2	41	4		2		58
Vice	20161201	2	1	2	106	1	1	34	8	12	4	1	4		6	5	1	6	29	6	24	4		13	3	12
The Hill	20161201	3	6		11		3	8	21			32	25		178	2	3				21	3		7		54
CNN	20161201	1		4	19		6	12	13			3			47	5			1		1	1		9	2	42
Mashable	20161201		12		43	1	2	29	12	4	6		9	3	7	1		4	9	10	47	8	2	2	5	9
Reuters	20170101	2	4	5	26	1	4	24	167	4	4	36	737	3	68	3	5	8	97	6	201	17	4	32	1	268
The New York Times	20170101		4	4	103		10	29	18	12	9	5	18	4	93	2	5	4	34	7	22	17	8	9	11	75
People	20170101		2	13	30	10	3	76	20	4	10	2	2	27	19	9	2	1	3	44	5	7	19	11	6	12
CNBC	20170101	2			8	1	2	13	26	2		3	99		39	1		3	2	1	39	3		4	3	75
Vice	20170101	1	1	1	123	1	4	32	17	8	1		7		17	13		4	32	2	12	6		21	7	19
The Hill	20170101		3		9		10	7	37			42	27	1	222	2	2				31	5	2	4	1	26
CNN	20170101		2	5	13		1	16	11			1	1	4	69	2	2		2	2	5	4		8	1	45
Mashable	20170101		13		48	1	2	37	26	1	2	5	7	4	11	4		5	5	8	56	10	2	5	4	24
Reuters	20170101	2	4	5	26	1	4	24	167	4	4	36	737	3	68	3	5	8	97	6	201	17	4	32	1	268
The New York Times	20170101		4	4	103		10	29	18	12	9	5	18	4	93	2	5	4	34	7	22	17	8	9	11	75
People	20170101		2	13	30	10	3	76	20	4	10	2	2	27	19	9	2	1	3	44	5	7	19	11	6	12
CNBC	20170101	2			8	1	2	13	26	2		3	99		39	1		3	2	1	39	3		4	3	75
Vice	20170101	1	1	1	123	1	4	32	17	8	1		7		17	13		4	32	2	12	6		21	7	19
The Hill	20170101		3		9		10	7	37			42	27	1	222	2	2				31	5	2	4	1	26
CNN	20170101		2	5	13		1	16	11			1	1	4	69	2	2		2	2	5	4		8	1	45
Mashable	20170101		13		48	1	2	37	26	1	2	5	7	4	11	4		5	5	8	56	10	2	5	4	24
Reuters	20170201	2	3	3	23	2	9	22	139		3	42	932	8	63	1		13	84	4	167	30	1	46	1	243
The New York Times	20170201	4	4	4	86	4	21	29	19	13	7	2	18	1	65	10	2	7	25	8	21	12	2	14	3	82
People	20170201		5	13	31	11	3	89	14	3	6	4	5	19	11	9	1		3	58	4	10	16	15	6	5
CNBC	20170201	1	1		11		2	11	26	2		2	91	2	40			2	1	3	61	4			1	59
Vice	20170201	2	2	2	127	1	6	33	10	8	2	1	6	5	8	2		13	17	4	25	6	2	18	3	22
The Hill	20170201	3	3		12		13	7	30			43	27		195	5	1	2	2	1	28	7		4	1	38
CNN	20170201	3	3	2	8		5	17	10		1	2	1	2	59	3	1	3	1	3	2	4	1	4		41
Mashable	20170201	1	13		46		1	25	16	2		3	9	4	8	2		2	8	15	59	9		3	5	9
Reuters	20170201	2	3	3	23	2	9	22	139		3	42	932	8	63	1		13	84	4	167	30	1	46	1	243
The New York Times	20170201	4	4	4	86	4	21	29	19	13	7	2	18	1	65	10	2	7	25	8	21	12	2	14	3	82
People	20170201		5	13	31	11	3	89	14	3	6	4	5	19	11	9	1		3	58	4	10	16	15	6	5
CNBC	20170201	1	1		11		2	11	26	2		2	91	2	40			2	1	3	61	4			1	59
Vice	20170201	2	2	2	127	1	6	33	10	8	2	1	6	5	8	2		13	17	4	25	6	2	18	3	22
The Hill	20170201	3	3		12		13	7	30			43	27		195	5	1	2	2	1	28	7		4	1	38
CNN	20170201	3	3	2	8		5	17	10		1	2	1	2	59	3	1	3	1	3	2	4	1	4		41
Mashable	20170201	1	13		46		1	25	16	2		3	9	4	8	2		2	8	15	59	9		3	5	9
Reuters	20170301	4	3	12	30	1	7	25	212	3	5	58	975	4	67	7	2	4	88	5	216	33	3	41	2	301
The New York Times	20170301	3	7	3	107	2	10	24	40	11	5	1	21	1	78	3	2	6	40	10	25	7	4	19	6	98
People	20170301		1	8	42	18	4	58	14	6	8	1	7	36	14	5			2	46	1	9	25	23	6	6
CNBC	20170301		2		11		4	9	21	1	2	7	106	1	64	1		4	2	2	58	7	1	4	1	69
Vice	20170301		1		123	1	2	40	27	10	1		11	2	17	6		6	23	3	21	6	2	20	4	23
The Hill	20170301	2	2	1	22		9	5	35		2	29	47		221			1			36	9	1	4		28
CNN	20170301	1		5	10	1	2	17	24			2	4		66	3	1				3	5		6	3	38
Mashable	20170301	1	17	1	37	2	4	37	17	3	1	2	9	6	12	3		4	4	12	58	5	3	4	8	10
Reuters	20170301	4	3	12	30	1	7	25	212	3	5	58	975	4	67	7	2	4	88	5	216	33	3	41	2	301
The New York Times	20170301	3	7	3	107	2	10	24	40	11	5	1	21	1	78	3	2	6	40	10	25	7	4	19	6	98
People	20170301		1	8	42	18	4	58	14	6	8	1	7	36	14	5			2	46	1	9	25	23	6	6
CNBC	20170301		2		11		4	9	21	1	2	7	106	1	64	1		4	2	2	58	7	1	4	1	69
Vice	20170301		1		123	1	2	40	27	10	1		11	2	17	6		6	23	3	21	6	2	20	4	23
The Hill	20170301	2	2	1	22		9	5	35		2	29	47		221			1			36	9	1	4		28
CNN	20170301	1		5	10	1	2	17	24			2	4		66	3	1				3	5		6	3	38
Mashable	20170301	1	17	1	37	2	4	37	17	3	1	2	9	6	12	3		4	4	12	58	5	3	4	8	10
Reuters	20170401		4	13	26	3	7	28	148	2	2	58	855	2	54	2	1	9	106	6	173	26	3	35	1	261
The New York Times	20170401	7	1	5	99	1	13	13	23	5	2	5	28	3	50	2	2	2	43	6	15	17	3	9	5	79
People	20170401	3	4	11	49	16	1	68	19	2	6	4	2	23	12	6		1	5	42	4	8	17	16	6	10
CNBC	20170401	2	1		12	1	3	5	18	1		2	108		31				2	1	60	12		5	1	67
Vice	20170401	4	8		115		4	34	24	7	2	2	3	4	17	11	1	7	13	3	14	6	1	21	5	31
The Hill	20170401	1	1		14	1	6	1	35			50	47	1	172		2	4		1	30	10		2	1	58
CNN	20170401	2	2	5	9	3	1	10	15		1	5	2	2	62	3	3	3	1	1	7	7		7		49
Mashable	20170401	1	13	1	40	2	1	39	17	5	2	1	10	1	6	3	1	10	3	11	56	9	1	3	2	7
Reuters	20170401		4	13	26	3	7	28	148	2	2	58	855	2	54	2	1	9	106	6	173	26	3	35	1	261
The New York Times	20170401	7	1	5	99	1	13	13	23	5	2	5	28	3	50	2	2	2	43	6	15	17	3	9	5	79
People	20170401	3	4	11	49	16	1	68	19	2	6	4	2	23	12	6		1	5	42	4	8	17	16	6	10
CNBC	20170401	2	1		12	1	3	5	18	1		2	108		31				2	1	60	12		5	1	67
Vice	20170401	4	8		115		4	34	24	7	2	2	3	4	17	11	1	7	13	3	14	6	1	21	5	31
The Hill	20170401	1	1		14	1	6	1	35			50	47	1	172		2	4		1	30	10		2	1	58
CNN	20170401	2	2	5	9	3	1	10	15		1	5	2	2	62	3	3	3	1	1	7	7		7		49
Mashable	20170401	1	13	1	40	2	1	39	17	5	2	1	10	1	6	3	1	10	3	11	56	9	1	3	2	7
Reuters	20170501	2	8	10	33	1	6	42	193	4	3	80	1058	2	65	4	2	17	120	2	235	39	3	61	1	315
The New York Times	20170501	2	1	8	101		15	19	21	7	11	8	20	3	98	3	5	7	36	5	28	15	8	11	4	82
People	20170501		4	7	33	14		66	18	7	4	2	4	28	18	4			4	57	2	13	21	15	3	6
CNBC	20170501	3	1	2	13		3	6	19			3	124	1	40			1	4	2	80	8	2	10	1	73
Vice	20170501	1	2	2	106		5	31	16	10	4	1	4	4	16	4	2	8	18	3	21	5	1	20	5	21
The Hill	20170501	3	4	2	11		9		48			37	36	1	232	2	2	1	1	1	27	9		5		57
CNN	20170501	1	3	4	22	2	2	9	16			2	6	6	85	2		3			4	1	1	10	2	50
Mashable	20170501	1	9		46	1	2	37	17	3	1	3	7	6	10	2		3	4	11	58	13	3		2	13
Reuters	20170501	2	8	10	33	1	6	42	193	4	3	80	1058	2	65	4	2	17	120	2	235	39	3	61	1	315
The New York Times	20170501	2	1	8	101		15	19	21	7	11	8	20	3	98	3	5	7	36	5	28	15	8	11	4	82
People	20170501		4	7	33	14		66	18	7	4	2	4	28	18	4			4	57	2	13	21	15	3	6
CNBC	20170501	3	1	2	13		3	6	19			3	124	1	40			1	4	2	80	8	2	10	1	73
Vice	20170501	1	2	2	106		5	31	16	10	4	1	4	4	16	4	2	8	18	3	21	5	1	20	5	21
The Hill	20170501	3	4	2	11		9		48			37	36	1	232	2	2	1	1	1	27	9		5		57
